,File Name,Job title,Job number,SCHOOL_TYPE,ENTRY_SALARY,EDUCATION_MAJOR,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_SUBJECT,COURSE_LENGTH,opendate,requirements,duties,DRIVERS_LICENSE_REQ,EXAM_TYPE,salary_end,salary_start,EXPERIENCE_LENGTH,EDUCATION_YEARS,sex,FULL_TIME_PART_TIME
375,PRINCIPAL PROPERTY OFFICER 3210 121517.txt,principal property officer,3210,,"('58,777', ' to $83,645')",,['experience as a Senior Property Officer with the'],[],[],[],2017-12-15,/MIMINUMUM QUALIFICATIONTwo years of full-time paid experience as a Senior Property Officer with the City of Los Angeles.PROCESS ,"A Principal Property Officer supervises a group of Senior Property Officers, Property Officers and other personnel engaged in maintaining physical custody, control, and detailed documentation of department-owned equipment and booked property.",yes required,"['Essay', 'Interview']","$83,645","58,777",Two,,,full_time
376,PRINCIPAL PUBLIC RELATIONS REPRESENTATIVE 1786 031717.txt,principal public relations representative,1786,College or University,"('66,899', ' to $95,212')"," including 24 semester or 36 quarter units in public relations, journalism, or mass communication and Three years of full-time paid professional experience performing public relations work and preparing and disseminating information using the press, radio, television, films, personal appearances, or other methods of mass communication; or2. Three years of full-time paid experience as a Public Relations Specialist with the City of Los Angeles.Candidates may substitute experience as described above for the specific academic credit required in Requirement #1. Each year of professional paid experience in these fields may be substituted for completion of 12 semester units or 18 quarter units from the fields of study required.PROCESS ","['experience as a Public Relations Specialist with', 'experience as described above for the specific a', 'experience in these fields may be substituted fo', 'experience in Requirement #1, the term ""professi']",[],[],[],2017-03-17,"S1. Graduation from an accredited Four-year college or university including 24 semester or 36 quarter units in public relations, journalism, or mass communication and Three years of full-time paid professional experience performing public relations work and preparing and disseminating information using the press, radio, television, films, personal appearances, or other methods of mass communication; or2. Three years of full-time paid experience as a Public Relations Specialist with the City of Los Angeles.Candidates may substitute experience as described above for the specific academic credit required in Requirement #1. Each year of professional paid experience in these fields may be substituted for completion of 12 semester units or 18 quarter units from the fields of study required.PROCESS ","A Principal Public Relations Representative supervises a full, or key portion of a public relations program involving the preparation and dissemination of media, promotional, educational, or advertising information on municipal functions or activities; personally performs highly responsible public relations work and may act as spokesperson for a City department; and applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",yes required,['Interview'],"$95,212","66,899",Three,Four,,full_time
377,PRINCIPAL RECREATION SUPERVISOR 2464 021618.txt,principal recreation supervisor,2464,,"('73,163', ' to $106,947')",,"['experience as a Recreation Supervisor or Aquatic', 'experience and training as they have provided the']",[],[],[],2018-02-16,"Two years of full-time paid experience as a Recreation Supervisor or Aquatic Director, or in a class at that level directing or supervising recreational activities.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. A valid California driver's license is required. Applicants will be disqualified and not eligible for hire if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at https://www.governmentjobs.com/careers/lacity/promotionaljobs for Promotional Examinations. ","A Principal Recreation Supervisor directs and supervises area recreational programs or specialized Citywide recreational activities; applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills equal employment opportunity responsibilities.   ",yes required,['Essay'],"$106,947","73,163",Two,,,full_time
378,PRINCIPAL SECURITY OFFICER 3200 110218.txt,principal security officer,3200,,"('49,882', None)",,['experience as a Senior Security Officer with the'],[],[],[],2018-11-02,"SOne year of full-time paid experience as a Senior Security Officer with the City of Los Angeles. PROCESS NOTES1. Applicants who lack six months or less of the above experience may file for this examination.  However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license prior to appointment. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at http://www.governmentjobs.com/careers/lacity/promotionaljobs for Promotional Examinations. ","A Principal Security Officer assists in directing, or personally directs, a large group of Security Officers and Senior Security Officers engaged in patrolling and safeguarding buildings and their occupants, grounds and equipment, in crowd and traffic control and protocol duties; supervises the investigation of accidents, thefts and disturbances; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",yes required,"['Essay', 'Interview']",,"49,882",One,,,full_time
379,PRINCIPAL STOREKEEPER 1839 072718.txt,principal storekeeper,1839,,"('70,177', ' to $102,625')",,['experience as a Senior Storekeeper or in a class'],[],[],[],2018-07-27,"Two years of full-time paid experience as a Senior Storekeeper or in a class which is at that level managing inventory control, procurement and other warehouse functions.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination; however, they cannot be appointed until the full experience requirement is met. 2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI). WHERE TO APPLYApplications will only be accepted on-line.  When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon.  On-line job bulletins are also available at https://www.governmentjobs.com/careers/lacity/promotionaljobs for Promotional Examinations.","A Principal Storekeeper manages a major supply distribution system, which may include a variety of distribution centers, warehouses, and stores serving other departments; or acts as assistant to a Stores Supervisor or Supply Services Manager; applies sound managerial and supervisory principles and techniques in supervising an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",yes required,"['Essay', 'Interview']","$102,625","70,177",Two,,,full_time
380,PRINCIPAL TAX AUDITOR 1524 110416.txt,principal tax auditor,1524,,"('87,863', ' to $128,495')",,"['experience in conducting or reviewing field audi', 'experience as a Senior Tax Auditor, must submit ']",[],[],[],2016-11-04," Two years of full-time paid experience with the City of Los Angeles as a Senior Tax Auditor or in a class at that level, which provides experience in conducting or reviewing field audits of financial records to determine the accuracy of self-assessed tax payments.  PROCESS ",A Principal Tax Auditor plans and directs professional and clerical employees engaged in tax auditing in the Tax and Permit Division of the Office of Finance and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,yes required,"['Essay', 'Interview']","$128,495","87,863",Two,,,full_time
381,PRINCIPAL TAX COMPLIANCE OFFICER 1195 030218.txt,principal tax compliance officer ,1195,,"('85,482', ' to $124,966')",,"['experience in a position at the level of Tax Com', 'experience as a Tax Compliance Officer III must ']",[],[],[],2018-03-02, Two years of full-time paid experience in a position at the level of Tax Compliance Officer III supervising the administration and enforcement of tax and permit ordinances and/or the collection of various outstanding debts.PROCESS ,"A Principal Tax Compliance Officer plans, organizes and directs the work of professional and clerical employees assigned to various divisions within the Office of Finance involved in the administration and enforcement of tax and permit ordinances or collection of outstanding debts owed to the City; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,['Interview'],"$124,966","85,482",Two,,,full_time
382,PRINCIPAL TRANSPORTATION ENGINEER 9266 101317.txt,principal transportation engineer,9266,,"('123,066', ' to $175,120')",,['experience in a position at the level of Senior '],[],[],[],2017-10-13,"S1. Two years of full-time paid professional supervisory transportation engineering or transportation planning experience in a position at the level of Senior Transportation Engineer or in a position with the City of Los Angeles designated as a Project Manager II or III, receiving the appropriate salary bonus; and2. Registration as a professional engineer with the California State Board for Professional Engineers, Land Surveyors, and Geologists in Traffic Engineering or Civil Engineering at the time of filing.PROCESS ","A Principal Transportation Engineer plans, organizes and directs the work of technical and professional employees engaged in performing responsible professional transportation engineering, transportation planning and field implementation work; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,['Interview'],"$175,120","123,066",Two,,,full_time
383,PRINCIPAL UTILITY ACCOUNTANT 1589 030218 updated.txt,principal utility accountant,1589,,"('121,312', ' to $150,711')",,['experience and personal qualifications by intervi'],[],[],[],2018-03-02,"Two years of full-time paid professional accounting or financial auditing experience with the City of Los Angeles in a class at the level of Senior Utility Accountant.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects Three or more moving driving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI). WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at https://www.governmentjobs.com/careers/lacity/promotionaljobs for Promotional Examinations.","A Principal Utility Accountant plans, directs, and coordinates the work of a division or major section engaged in accounting, financial, and/or auditing activities of the Department of Water and Power and Joint Power Agencies; or may act in the absence of the Auditor (Chief Financial Officer), and assist in administering the financial activities of the Department of Water and Power; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,"['Essay', 'Interview']","$150,711","121,312",Two,,,full_time
384,PRINCIPAL WORKERS_ COMPENSATION ANALYST 1777 071814.txt,principal workers' compensation analyst,1777,,"('80,284', ' to $117,346')",,"[""experience as a Senior Workers' Compensation Ana"", ""experience acquired from a variety of Workers' Compens""]",[],[],[],2014-07-18,"Two years of full-time paid experience as a Senior Workers' Compensation Analyst with the City of Los Angeles.NOTES:1. Applicants who lack six months or less of the required experience may file for this examination.  However, they cannot be appointed until the full experience requirement is met.2. Prior to appointment, all Principal Workers' Compensation Analyst candidates must possess a ""Self-Insurance Administrator's Examination Certificate of Achievement"" issued by the State of California (per California Code Regulations Section 15452).3. Some positions may require a valid California driver's license. Candidates may not be eligible for appointment to these positions if their record within the last 36 months reflects Three or more moving violations and/or at-fault accidents, or a conviction of a major moving violation (such as DUI).WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at http://agency.governmentjobs.com/lacity/default.cfm?promotionaljobs=1 for Promotional Examinations. ",A Principal Workers' Compensation Analyst maintains responsibility for the administration of Workers' Compensation benefits in cases involving City employees; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,yes required,[],"$117,346","80,284",Two,,,full_time
385,PRINTING PRESS OPERATOR 1494 092515.txt,printing press operator ,1494,,"('67,171', ' to $74,855')",,['experience as a Print Shop Trainee or in a class'],[],[],[],2015-09-25,"1. Completion of a recognized Four-year apprenticeship or the attainment of journey-level rank as a printing press operator; or 2. Four years of full-time paid experience as a Print Shop Trainee or in a class at least at that level, performing printing press work. ","A Printing Press Operator sets up, operates, maintains and makes minor repairs to large, single and multi-color presses; direct to plate, automatic platen press and vertical cylinder presses; and may supervise appropriate staff. ",not required,['Interview'],"$74,855","67,171",Four,,,full_time
386,PRINTING SERVICES SUPERINTENDENT 1496 101416.txt,printing services superintendent,1496,,"('69,968', ' to $102,291')",,"['experience as a Printing Press Operator II, Pre-', 'experience in journey-level class operating offs', 'experience in a print shop is desired but not re']",[],[],[],2016-10-14,"S1. Two years of full-time paid experience as a Printing Press Operator II, Pre-Press Operator II, or Bindery Equipment Operator II with the City of Los Angeles; or 2. Four years of full-time paid experience in journey-level class operating offset printing press equipment, lithograph preparation equipment, or bindery equipment.PROCESS NOTES1. Applicants who lack six months or less of the required experience may file for this examination. However, they cannot be appointed until the full experience requirement is met.2. Supervisory experience in a print shop is desired but not required. WHERE TO APPLYApplications will only be accepted on-line. When you are viewing the on-line job bulletin of your choice, simply scroll to the top of the page and select the ""Apply"" icon. On-line job bulletins are also available at https://www.governmentjobs.com/careers/lacity/promotionaljobs  for Promotional Examinations. ","A Printing Services Superintendent plans, organizes and directs the work of subordinate supervisors and other employees engaged in lithograph preparation, printing, duplicating, and bindery work of the Publishing Services Division of the Department of General Services; assists the Director of Printing Services in overall division operations; and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",not required,"['Essay', 'Interview']","$102,291","69,968",Two,,,full_time
387,PROCUREMENT ANALYST 1859 022318.txt,procurement analyst,1859,College or University,"('58,171', ' to $85,044')", and One year of full-time paid professional experience in commodity purchasing.PROCESS ,"['experience as a Procurement Aide with the City o', 'experience in commodity purchasing.PROCESS NOTES']",[],[],[],2018-02-23,S1. Two years of full-time paid experience as a Procurement Aide with the City of Los Angeles; or2. Graduation from an accredited Four-year college or university and One year of full-time paid professional experience in commodity purchasing.PROCESS ,"A Procurement Analyst purchases or assists in purchasing a variety of equipment, services, supplies, and materials; performs professional staff work by analyzing bids and making awards based on the lowest ultimate cost to the City; and performs related staff work in the coordination of purchasing activities; and does related work.",yes required,"['Essay', 'Interview']","$85,044","58,171",Two,Four,,full_time
388,PROCUREMENT SUPERVISOR 1852 050517.txt,procurement supervisor,1852,,"('79,239', ' to $115,863')",,"['experience in a class at the level of Procuremen', 'experience and personal qualifications by intervi']",[],[],[],2017-05-05,STwo years of full-time paid professional experience in a class at the level of Procurement Analyst in commodity purchasing.A valid certification for One of the following may be substituted for a maximum of One year of the experience lacking:a. Certified Purchasing Manager (CPM) or Certified Professional in Supply Management (CPSM) issued by the Institute for Supply Management.b. Certified Professional Contracts Manager (CPCM) issued by the National Contracts Management Association.c. Certified Public Purchasing Officer (CPPO) or Certified Professional Public Buyer (CPPB) issued by the Universal Public Purchasing Certification Council. PROCESS ,"A Procurement Supervisor assigns, reviews, and evaluates the work of subordinates related to purchasing a variety of equipment, services, supplies, and materials and the performance of related staff work; personally performs the more complex purchasing work; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",yes required,[],"$115,863","79,239",Two,,,full_time
389,PROGRAMMER ANALYST 1431 092217 (3).txt,programmer analyst,1431,College or University,"('65,124', ' to $92,665')"," with completion of 24 semester or 36 quarter units in information systems, computer engineering, or computer science and Two years of full-time paid experience in the analysis, design, development, testing, and implementation of software applications; or2. Two years of full-time paid experience as an Applications Programmer with the City of Los Angeles.Additional full-time paid programming analyst experience as described in Requirement #1 above may be substituted on a year for year basis for the required bachelor's degree. One academic year is equivalent to 30 semester or 45 quarter units.PROCESS ","['experience in the analysis, design, development,', 'experience as an Applications Programmer with th', 'experience as described in Requirement #1 above ']",[],[],[],2017-09-22,"S1. A bachelor's degree from an accredited Four-year college or university with completion of 24 semester or 36 quarter units in information systems, computer engineering, or computer science and Two years of full-time paid experience in the analysis, design, development, testing, and implementation of software applications; or2. Two years of full-time paid experience as an Applications Programmer with the City of Los Angeles.Additional full-time paid programming analyst experience as described in Requirement #1 above may be substituted on a year for year basis for the required bachelor's degree. One academic year is equivalent to 30 semester or 45 quarter units.PROCESS ",A Programmer Analyst does technically difficult programming and application or software support; analyzes existing systems and procedures; determines the feasibility of data processing applications; designs and participates in the implementation of systems of computer programs; and may act as a lead analyst or project leader in supervising technical employees who are performing such work.,yes required,[],"$92,665","65,124",Two,Four,,full_time
390,PROPERTY OFFICER 3207 071417 (1).txt,property officer,3207,,"('45,310', ' to $64,457')",,"['experience in warehouse or storekeeping work whi', 'experience in receiving, storing, issuing, and a']",[],[],[],2017-07-14,"One year of full-time paid experience in warehouse or storekeeping work which includes experience in receiving, storing, issuing, and accounting for materials, supplies, parts, tools, or equipment.PROCESS ",A Property Officer is an unarmed civilian employee of the Police Department who accepts and maintains physical accountability and detailed documentation for booked evidence and non-evidence property from time of booking to ultimate release or disposal; utilizes both computer based and physical data tracking and filing systems; and provides customer service to police officers and the general public. ,yes required,"['Test', 'Questionnaire']","$64,457","45,310",One,,,full_time
391,PROTECTIVE COATING WORKER 3463 082115.txt,protective coating worker ,3463,,"('86,234', None)",,[],[],[],[],2015-08-21,1. Current employment with the City of Los Angeles; and2. Six months of full-time paid experience with the City of Los Angeles applying multi-part epoxies and cement mortar coatings and linings on and in steel pipe.,"A Protective Coating Worker prepares surfaces and applies cement mortar, or other protective coating or lining material to pipes, fittings, joints, and structures.",yes required,[],,"86,234",Zero,,,full_time
392,PUBLIC RELATIONS SPECIALIST 1785 012017.txt,public relations specialist,1785,College or University,"('47,731', ' to $69,760')"," including completion of at least 24 semester or 36 quarter units in public relations, journalism, or communications.Each year of full-time paid professional experience in the fields of journalism, public relations, or media relations may be substituted for 12 semester or 18 quarter units of the required coursework.PROCESS ","['experience in the fields of journalism, public r']",[],[],[],2017-01-20,"S Graduation from an accredited Four-year college or university including completion of at least 24 semester or 36 quarter units in public relations, journalism, or communications.Each year of full-time paid professional experience in the fields of journalism, public relations, or media relations may be substituted for 12 semester or 18 quarter units of the required coursework.PROCESS ",Public Relations Specialists utilize various techniques in the preparation and dissemination of material regarding City activities for informational or educational purposes; and may coordinate public relations events or programs.,yes required,"['Test', 'Essay']","$69,760","47,731",Zero,Four,,full_time
393,PUBLIC SAFETY RISK MANAGER 7976 102618.txt,public safety risk manager,7976,College or University,"('109,787', ' to $160,483')"," with a degree in business, public administration, political science or related field; and b) Four years of full-time paid professional experience providing advice, general counsel or litigation services regarding risk management, risk assessment or risk evaluation for a public safety organization, with Two of the Four years supervising staff engaged in the administration of a risk management program. PROCESS ",['experience as a Risk Manager with in the City of'],[],[],[],2018-10-26,"S1. Two years of full-time paid experience as a Risk Manager with in the City of Los Angeles providing advice, general counsel or litigation services regarding risk management, risk threat assessment or risk evaluation for a public safety organization; or2. a)  Graduation from an accredited Four-year college or university with a degree in business, public administration, political science or related field; and b) Four years of full-time paid professional experience providing advice, general counsel or litigation services regarding risk management, risk assessment or risk evaluation for a public safety organization, with Two of the Four years supervising staff engaged in the administration of a risk management program. PROCESS ","A Public Safety Risk Manager administers a comprehensive risk management program within the Los Angeles Fire Department (LAFD) which includes identifying potential risk exposures in all operations, evaluating the likelihood of these risks, and preparing and recommending policies or procedures to mitigate or eliminate such risks. Evaluates the effectiveness of the risk reduction measures within the context of the public safety and emergency response obligation of the LAFD.",yes required,"['Essay', 'Interview']","$160,483","109,787",Two,Four,,full_time
394,RATES MANAGER 5601 012017.txt,rates manager ,5601,,"('126,365', ' to $156,975')",,['experience in a class at the level of Senior Uti'],[],[],[],2017-01-20," Two years of full-time paid experience in a class at the level of Senior Utility Accountant in the analysis and development of electric or water rates, or the analysis of revenue requirements for the establishment of rate structures.PROCESS ","A Rates Manager directs, or assists in directing, employees engaged in the analysis and development of various rate structures for electrical and water services.",yes required,['Interview'],"$156,975","126,365",Two,,,full_time
395,REAL ESTATE OFFICER 1960 051118.txt,real estate officer,1960,College or University,"('70,490', ' to $103,084')","; and Two years of full-time paid experience in One or more of the following areas:a)  negotiating for the lease, rental, acquisition, or sale of commercial, residential and/or industrial real property rights;b)  appraising the market value of real property including land and improvements and good will when applicable;c)  managing commercial or industrial real property;d) providing relocation assistance to persons or businesses.PROCESS ","['experience as a Real Estate Associate with the C', 'experience as a Real Estate Trainee with the Cit', 'experience in One or more of the following areas']",[],[],[],2018-05-11,"S 1. One year of full-time paid experience as a Real Estate Associate with the City of Los Angeles; or2. Three years of full-time paid experience as a Real Estate Trainee with the City of Los Angeles; or3. Graduation from an accredited Four year college or university; and Two years of full-time paid experience in One or more of the following areas:a)  negotiating for the lease, rental, acquisition, or sale of commercial, residential and/or industrial real property rights;b)  appraising the market value of real property including land and improvements and good will when applicable;c)  managing commercial or industrial real property;d) providing relocation assistance to persons or businesses.PROCESS ","A Real Estate Officer negotiates for the lease, acquisition, rental, or sale of real property rights; makes valuation appraisals of real property to be acquired, sold or leased by the City; selects or assists in the selection of appropriate sites or routes for public projects; appraises damages including loss of goodwill and special benefits to private and public property resulting from proposed public improvements or public utility installations; manages City-owned real property; and coordinates property management issues for leased facilities; conducts relocation studies; and relocates persons and/or businesses.",yes required,"['Test', 'Interview']","$103,084","70,490",One,Four,,full_time
396,REAL ESTATE TRAINEE 1937 122917.txt,real estate trainee,1937,,"('46,708', ' to $68,319')",,"['experience in a class at the level of Principal ', 'experience in a class at the level of Senior Cle']",[],[],[],2017-12-29,"S1. One year of full-time paid experience in a class at the level of Principal Clerk and performing duties related to real estate activities such as escrow, title examining, appraising, relocation assistance, property management, negotiation, lease administration, or maintenance of land records; or2. Three years of full-time paid experience in a class at the level of Senior Clerk performing duties as indicated above.One year of education at an accredited university or college which includes Three semester or Four quarter units in real estate may be substituted for each year of experience lacking at the level of Senior Clerk up to a maximum of Two years.  PROCESS ","  A Real Estate Trainee assists technical real estate employees engaged in appraising, negotiating, and managing real property, title examining, and relocation assistance.",not required,"['Essay', 'Interview']","$68,319","46,708",One,,,full_time
397,RECREATION COORDINATOR 2469 091517(1).txt,recreation coordinator,2469,College or University,"('47,314', ' to $67,317')"," with a major in recreation, physical education, fine arts, kinesiology, gerontology, early childhood development, psychology, or sociology; or2.  Graduation from an accredited Four-year college or university with any major and six months of full-time paid experience (1,000 hours) providing recreation and leisure services for an agency or organization that conducts professional recreation programs; or3.  Possession of a valid Multiple Subject Teaching Credential or Single Subject Teaching Credential issued by the California Commission on Teacher Credentialing.PROCESS ",['experience as they have provided the knowledge o'],[],[],[],2017-09-15,"S 1.  Graduation from an accredited Four-year college or university with a major in recreation, physical education, fine arts, kinesiology, gerontology, early childhood development, psychology, or sociology; or2.  Graduation from an accredited Four-year college or university with any major and six months of full-time paid experience (1,000 hours) providing recreation and leisure services for an agency or organization that conducts professional recreation programs; or3.  Possession of a valid Multiple Subject Teaching Credential or Single Subject Teaching Credential issued by the California Commission on Teacher Credentialing.PROCESS ",A Recreation Coordinator assists a Recreation Facility Director or Senior Recreation Director in organizing and conducting a comprehensive program of community recreation activities for diverse groups of people.,yes required,"['Essay', 'Interview']","$67,317","47,314",Zero,Four,,full_time
398,RECREATION FACILITY DIRECTOR 2434 051217.txt,recreation facility director,2434,College or University,"('51,657', ' to $73,518')",; and2. Two years of full-time paid experience providing recreation and leisure services for an agency or organization that conducts professional recreation programs.PROCESS ,['experience as they have provided the knowledge o'],[],[],[],2017-05-12,S1. Graduation from an accredited Four-year college or university; and2. Two years of full-time paid experience providing recreation and leisure services for an agency or organization that conducts professional recreation programs.PROCESS ,"A Recreation Facility Director formulates, organizes and conducts a comprehensive program of recreational activities for adults and children at a City recreation facility; develops, implements and coordinates fundraising activities and events; accounts for, keeps records of, and transmits funds collected from the public; and administers and manages the Municipal Recreation Program account; or acts as Director-In-Charge of larger, more complex facilities; assists the Recreation Supervisor in coordinating a broad range of regional or citywide events; conducts in-service training; acts in the absence of the Recreation Supervisor; assigns, reviews, and evaluates the work of subordinates engaged in conducting community recreation activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,"['Essay', 'Interview']","$73,518","51,657",Two,Four,,full_time
399,RECREATION SUPERVISOR 2460 101416 REVISED 102716.txt,recreation supervisor,2460,,"('63,266', ' to $92,498')",,['experience in supervising or directing recreatio'],[],[],[],2016-10-14,One year of full-time paid experience with the City of Los Angeles as a Senior Recreation Director or in a position at that level providing experience in supervising or directing recreational programs and activities. PROCESS ,"A Recreation Supervisor plans, organizes and directs the work of subordinate personnel such as Senior Recreation Directors, Recreation Facility Directors, and Child Care Directors engaged in directing recreational activities within a geographical district; may plan, organize and direct a specialized Citywide recreational program; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",yes required,['Interview'],"$92,498","63,266",One,,,full_time
400,REFUSE COLLECTION SUPERVISOR 4101 033117.txt,refuse collection supervisor,4101,,"('72,432', ' to $103,084')", may be substituted on a year-for-year basis for the above experience up to a maximum of Two years.PROCESS ,[],[],[],[],2017-03-31,Four years of full-time paid experience with the City of Los Angeles in connection with the collection or disposal of municipal wastes. Completion of 30 semester or 45 quarter units in an accredited college or university may be substituted on a year-for-year basis for the above experience up to a maximum of Two years.PROCESS ,"A Refuse Collection Supervisor assigns, reviews, analyzes and evaluates the work of a large group of Refuse Collection Truck Operators and Maintenance Laborers engaged in solid resources collection, recycling, and disposal programs or activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",not required,"['Essay', 'Interview']","$103,084","72,432",Four,,,full_time
401,REFUSE COLLECTION TRUCK OPERATOR 021717.txt,refuse collection truck operator,3580,,"('47,042', ' to $66,920')",,['experience in driving a truck with a gross vehic'],[],[],[],2017-02-17,"S1. One year of full-time paid experience in driving a truck with a gross vehicle weight loaded of 28,000 pounds or more.  (Applicants must include the gross vehicle weight of the vehicle on the application form or the application will not be processed); and2. A valid Class B California driver's license is required (no permits will be accepted), and a medical certificate approved by the State of California, Department of Motor Vehicles.  3. Equivalent experience gained in a training capacity as a Maintenance Laborer, Truck Operator, Street Services Worker, or Construction Equipment Service Worker with the City of Los Angeles may be substituted for the above experience by submitting a completed ""Verification of Work Experience"" (VWE) form. 4. A certificate of satisfactory completion of an approved training course in truck operation, including at least One month of behind-the-wheel instruction in vehicles 28,000 pounds gross vehicle weight or more, may be substituted for 6 months of the required experience.  PROCESS ","A Refuse Collection Truck Operator loads and unloads a refuse collection vehicle, drives a refuse collection vehicle, operates mechanical attachments on the vehicle, and may work as a manual laborer or lead a small manual labor crew during periods of the day when not driving.",yes required,['Test'],"$66,920","47,042",One,,,full_time
402,REFUSE CREW FIELD INSTRUCTOR 4100 081216.txt,refuse crew field instructor,4100,,"('60,886', ' to $86,631')",,[],[],[],[],2016-08-12,S1. Two years of full-time paid experience with the City of Los Angeles as a Refuse Collection Truck Operator; and 2. A valid California Class B driver's license and valid medical certificate approved by the State of California Department of Motor Vehicles.PROCESS ,"The Refuse Crew Field Instructor trains and instructs refuse collection personnel on proper and safe collection methods and practices, including the operation of refuse collection trucks and specialized equipment. The Refuse Crew Field Instructor also provides support to district safety programs, conducts classroom training, documents all required applied training, monitors safe work practices in the field, and supports daily investigation and observations targeted at reducing on-duty injuries and vehicle accidents.  These positions normally work with One crew at a time, but may be assigned to instruct groups of Refuse Collection Truck Operators and other staff in the use of equipment or to instruct employees on other branches of refuse collection. This class is distinguished from other safety classes due to the specialized nature of the work performed.",yes required,"['Test', 'Essay', 'Interview']","$86,631","60,886",Two,,,full_time
403,REHABILITATION CONSTRUCTION SPECIALIST 072718.txt,rehabilitation construction specialist,1569,,"('85,545', ' to $103,439')",,"['experience as a licensed general contractor; or2', 'experience as a licensed contractor in the carpe', 'experience inspecting general residential or commercial ', 'experience at the level of Architectural Associa', 'experience in Requirement #4, the term ""professi']",[],[],[],2018-07-27,"S1. Two years of full-time paid experience as a licensed general contractor; or2. Four years of full-time paid experience as a licensed contractor in the carpentry, masonry, electrical, plumbing, or heating construction trades; or3. Three years of full-time paid experience inspecting general residential or commercial construction for a governmental agency relating to housing rehabilitation, new construction, or urban improvement program; or4. Three years of full-time paid professional experience at the level of Architectural Associate performing architectural work in preparing and checking designs, plans, specifications and cost estimates for residential or commercial construction.PROCESS ","A Rehabilitation Construction Specialist makes recommendations regarding the physical rehabilitation and new construction of property in a housing rehabilitation, multifamily development, or urban improvement program; reviews plans and specifications for new construction projects; reviews project designs for lead abatement and/or asbestos projects; prepares specifications and cost estimates for proposed housing rehabilitation or new construction projects; develops production standards; evaluates and processes construction disbursements; monitors construction projects for compliance with all applicable Federal, State, and local laws, including all Davis-Bacon wage requirements; and performs other related duties.",yes required,['Test'],"$103,439","85,545",Two,,,full_time
